index,Order ID,Product Name,Discount per product,Total revenue before discount,Total quantity,Category
0,ES-2011-1001989,"Cardinal 3-Hole Punch, Clear",3,229,9,Office Supplies
1,ES-2011-1010958,"Cardinal 3-Hole Punch, Economy",0,58,2,Office Supplies
2,ES-2011-1010958,"Cameo Peel and Seal, Security-Tint",0,140,6,Office Supplies
3,ES-2011-1012469,"Cardinal Binding Machine, Clear",0,148,3,Office Supplies
4,ES-2011-1043483,"Xerox Message Books, Premium",0,224,11,Office Supplies
5,ES-2011-1043483,"StarTech Card Printer, White",0,486,3,Technology
6,ES-2011-1043483,"Apple Headset, with Caller ID",0,440,6,Technology
7,ES-2011-1058269,"Avery Index Tab, Durable",0,13,2,Office Supplies
8,ES-2011-1058269,"Fellowes Lockers, Industrial",3,748,4,Office Supplies
9,ES-2011-1058269,"Panasonic Printer, Durable",0,800,3,Technology
10,ES-2011-1058269,"Nokia Smart Phone, Full Size",0,1908,3,Technology
11,ES-2011-1084683,"Eldon Stacking Tray, Black",0,63,2,Furniture
12,ES-2011-1084683,"SanDisk Keyboard, Programmable",0,415,5,Technology
13,ES-2011-1088527,"Tenex Light Bulb, Duo Pack",0,76,4,Furniture
14,ES-2011-1119145,"Cardinal Index Tab, Economy",0,18,2,Office Supplies
15,ES-2011-1122594,"Boston Pencil Sharpener, Water Color",0,58,2,Office Supplies
16,ES-2011-1136913,"Green Bar Memo Slips, 8.5 x 11",0,84,4,Office Supplies
17,ES-2011-1137137,"Tenex File Cart, Blue",3,599,5,Office Supplies
18,ES-2011-1138719,"Ibico Hole Reinforcements, Recycled",0,22,3,Office Supplies
19,ES-2011-1140474,"Smead Round Labels, 5000 Label Set",0,15,2,Office Supplies
20,ES-2011-1141056,"Office Star Steel Folding Chair, Adjustable",3,593,7,Furniture
21,ES-2011-1196075,"Acco Index Tab, Economy",0,50,5,Office Supplies
22,ES-2011-1196075,"Cardinal Binder, Durable",0,46,3,Office Supplies
23,ES-2011-1196075,"Hon Color Coded Labels, 5000 Label Set",0,40,3,Office Supplies
24,ES-2011-1205554,"Elite Letter Opener, Easy Grip",0,82,3,Office Supplies
25,ES-2011-1210983,"Rubbermaid Door Stop, Duo Pack",0,351,8,Furniture
26,ES-2011-1222857,"Safco Floating Shelf Set, Traditional",18,393,5,Furniture
27,ES-2011-1222857,"Harbour Creations Swivel Stool, Black",18,142,2,Furniture
28,ES-2011-1222857,"SAFCO Bag Chairs, Black",18,169,9,Furniture
29,ES-2011-1222857,"Ibico Hole Reinforcements, Economy",2.5,31,9,Office Supplies
30,ES-2011-1228490,"Breville Toaster, Red",3,69,1,Office Supplies
31,ES-2011-1228490,"Cardinal 3-Hole Punch, Economy",0,144,5,Office Supplies
32,ES-2011-1228490,"Acme Scissors, Serrated",0,22,1,Office Supplies
33,ES-2011-1244060,"Dania Library with Doors, Pine",0,728,2,Furniture
34,ES-2011-1244060,"SAFCO Rocking Chair, Red",0,405,3,Furniture
35,ES-2011-1244060,"Binney & Smith Markers, Easy-Erase",0,49,2,Office Supplies
36,ES-2011-1244060,"Acco Binder Covers, Economy",0,27,2,Office Supplies
37,ES-2011-1244060,"Apple Smart Phone, Full Size",0,636,1,Technology
38,ES-2011-1259965,"Stanley Canvas, Fluorescent",0,152,3,Office Supplies
39,ES-2011-1273737,"Ibico Binder, Economy",0,31,2,Office Supplies
40,ES-2011-1276768,"Dania Stackable Bookrack, Mobile",3,438,4,Furniture
41,ES-2011-1276768,"Sauder Corner Shelving, Metal",3,264,2,Furniture
42,ES-2011-1298103,"Safco Floating Shelf Set, Traditional",0,590,3,Furniture
43,ES-2011-1322522,"BIC Pencil Sharpener, Water Color",0,64,2,Office Supplies
44,ES-2011-1386961,"Smead Round Labels, 5000 Label Set",0,15,2,Office Supplies
45,ES-2011-1386961,"Green Bar Message Books, Recycled",0,47,2,Office Supplies
46,ES-2011-1401137,"Sanford Highlighters, Water Color",0,114,6,Office Supplies
47,ES-2011-1401137,"Fellowes Lockers, Industrial",3,374,2,Office Supplies
48,ES-2011-1416586,"Binney & Smith Pens, Easy-Erase",0,147,12,Office Supplies
49,ES-2011-1416586,"Fellowes Shelving, Wire Frame",3,102,2,Office Supplies
50,ES-2011-1416586,"Epson Calculator, Durable",0,47,1,Technology
51,ES-2011-1417751,"BIC Highlighters, Water Color",0,88,4,Office Supplies
52,ES-2011-1418466,"Boston Canvas, Fluorescent",0,220,4,Office Supplies
53,ES-2011-1418466,"Boston Pencil Sharpener, Water Color",0,58,2,Office Supplies
54,ES-2011-1418466,"Eldon Box, Blue",3,37,4,Office Supplies
55,ES-2011-1419565,"BIC Pens, Easy-Erase",0,44,3,Office Supplies
56,ES-2011-1426891,"SAFCO Bag Chairs, Red",3,178,4,Furniture
57,ES-2011-1426891,"HP Copy Machine, Laser",0,973,4,Technology
58,ES-2011-1426891,"HP Wireless Fax, Color",0,3617,10,Technology
59,ES-2011-1436413,"Smead Shelving, Industrial",3,178,4,Office Supplies
60,ES-2011-1441570,"Apple Speaker Phone, Full Size",4.5,212,2,Technology
61,ES-2011-1443340,"Wilson Jones Index Tab, Economy",0,39,6,Office Supplies
62,ES-2011-1443340,"Samsung Speaker Phone, VoIP",3,444,4,Technology
63,ES-2011-1444426,"KitchenAid Toaster, White",0,584,7,Office Supplies
64,ES-2011-1455810,"Office Star Rocking Chair, Red",3,127,1,Furniture
65,ES-2011-1455810,"Kraft Peel and Seal, Security-Tint",0,92,4,Office Supplies
66,ES-2011-1456978,"Boston Pens, Easy-Erase",0,116,8,Office Supplies
67,ES-2011-1456978,"Smead Legal Exhibit Labels, Adjustable",0,36,4,Office Supplies
68,ES-2011-1456978,"Stiletto Shears, Serrated",0,90,2,Office Supplies
69,ES-2011-1458159,"Apple Speaker Phone, with Caller ID",3,777,7,Technology
70,ES-2011-1460199,"Ikea Stackable Bookrack, Traditional",3,552,5,Furniture
71,ES-2011-1460199,"Binney & Smith Canvas, Blue",0,257,5,Office Supplies
72,ES-2011-1460199,"Ibico Index Tab, Clear",0,17,2,Office Supplies
73,ES-2011-1460199,"Epson Printer, White",0,522,2,Technology
74,ES-2011-1466305,"Boston Canvas, Fluorescent",0,55,1,Office Supplies
75,ES-2011-1466305,"Smead Trays, Single Width",0,97,2,Office Supplies
76,ES-2011-1480594,"Novimex Steel Folding Chair, Black",3,215,3,Furniture
77,ES-2011-1480594,"Cameo Manila Envelope, Security-Tint",0,59,2,Office Supplies
78,ES-2011-1494790,"Kleencut Ruler, Easy Grip",0,76,5,Office Supplies
79,ES-2011-1502054,"Acme Scissors, Steel",3,67,3,Office Supplies
80,ES-2011-1517387,"BIC Markers, Easy-Erase",0,107,4,Office Supplies
81,ES-2011-1520567,"Tenex File Cart, Blue",3,360,3,Office Supplies
82,ES-2011-1525428,"Stanley Highlighters, Water Color",0,36,2,Office Supplies
83,ES-2011-1527372,"Safco Floating Shelf Set, Pine",0,990,5,Furniture
84,ES-2011-1527372,"Advantus Staples, Assorted Sizes",0,17,2,Office Supplies
85,ES-2011-1536399,"Advantus Push Pins, Assorted Sizes",0,36,3,Office Supplies
86,ES-2011-1537002,"Sanford Canvas, Fluorescent",0,155,3,Office Supplies
87,ES-2011-1537002,"Ibico Binder Covers, Economy",0,137,10,Office Supplies
88,ES-2011-1537002,"Harbour Creations Color Coded Labels, Adjustable",0,32,3,Office Supplies
89,ES-2011-1539879,"Stockwell Thumb Tacks, 12 Pack",0,50,4,Office Supplies
90,ES-2011-1539879,"Rogers File Cart, Single Width",3,765,6,Office Supplies
91,ES-2011-1539879,"Tenex File Cart, Single Width",3,362,3,Office Supplies
92,ES-2011-1562184,"Cameo Mailers, with clear poly window",0,125,3,Office Supplies
93,ES-2011-1579115,"Elite Ruler, High Speed",0,41,3,Office Supplies
94,ES-2011-1579115,"Brother Fax and Copier, Digital",0,191,1,Technology
95,ES-2011-1586186,"Office Star Bag Chairs, Set of Two",15,87,3,Furniture
96,ES-2011-1589842,"Binney & Smith Canvas, Water Color",0,109,2,Office Supplies
97,ES-2011-1589842,"SanDisk Router, Bluetooth",0,1025,4,Technology
98,ES-2011-1590255,"Kleencut Ruler, Serrated",0,82,8,Office Supplies
99,ES-2011-1591803,"Konica Calculator, Red",4.5,249,6,Technology
100,ES-2011-1611223,"Canon Fax and Copier, Color",0,964,5,Technology
101,ES-2011-1611223,"Epson Receipt Printer, Wireless",0,351,3,Technology
102,ES-2011-1630549,"Harbour Creations Removable Labels, Adjustable",0,17,2,Office Supplies
103,ES-2011-1637634,"Rubbermaid Door Stop, Duo Pack",0,132,3,Furniture
104,ES-2011-1637634,"Smead Folders, Wire Frame",0,50,3,Office Supplies
105,ES-2011-1640672,"Xerox Note Cards, Premium",2.5,13,1,Office Supplies
106,ES-2011-1640672,"HP Fax and Copier, Digital",15,86,1,Technology
107,ES-2011-1640672,"Motorola Signal Booster, Cordless",15,584,8,Technology
108,ES-2011-1647523,"Hoover Blender, Black",3,172,2,Office Supplies
109,ES-2011-1647523,"Boston Canvas, Fluorescent",0,275,5,Office Supplies
110,ES-2011-1647855,"Bush Stackable Bookrack, Traditional",3,332,3,Furniture
111,ES-2011-1653919,"Boston Pens, Blue",0,71,5,Office Supplies
112,ES-2011-1653919,"Boston Pens, Easy-Erase",0,58,4,Office Supplies
113,ES-2011-1653919,"Smead Trays, Blue",3,44,1,Office Supplies
114,ES-2011-1656997,"Avery Hole Reinforcements, Clear",0,12,3,Office Supplies
115,ES-2011-1656997,"Brother Wireless Fax, High-Speed",0,1508,4,Technology
116,ES-2011-1657853,"Safco Floating Shelf Set, Pine",3,713,4,Furniture
